Virus;Year;Deaths;World population;Deaths per million;Continents
Spanish influenza;1918;50000000;1830000000;27322;6
Hantaan virus;1951;46430;2584034261;18;1
South American hantaviruses;1956;1990;2822443282;0.71;1
Kyasanur forest disease;1957;1000;2873306090;0.35;1
H2N2 influenza;1957;1100000;2873306090;383;6
Junin virus;1958;5900;2925686705;2.02;1
Lacrosse virus;1960;300;3034949748;0.1;1
Machupo virus;1963;290;3211001009;0.09;1
Marburg virus;1967;370;3478769962;0.11;2
H3N2 influenza;1968;1000000;3551599127;282;6
Lassa fever;1969;250000;3625680627;69;2
Venezuelan equine encephalitis;1969;300;3625680627;0.08;2
Monkeypox;1970;5000;3700437046;1.35;3
Ebola;1976;12930;4154666864;3.11;1
Rift Valley fever;1977;3000;4229506060;0.71;1
HIV;1980;10700000;4458003514;2400;6
Puumala virus;1980;10;4458003514;0;1
Guanrito virus;1989;140;5237441558;0.03;1
Sin Nombre virus;1993;260;5581597546;0.05;1
Andes;1995;130;5744212979;0.02;1
Nipah;1998;200;5984793942;0.03;1
West Nile;1999;2330;6064239055;0.38;2
SARS;2002;770;6301773188;0.12;5
Chikungunya;2004;35000;6461159389;5.42;1
H1N1 influenza;2008;284000;6789088686;42;6
Severe fever thrombocytopenia syndrome;2009;370;6872767093;0.05;1
MERS;2012;860;7125828059;0.12;2
Zika;2015;50;7379797139;0.01;5
COVID-19;2020;7000000;7794798739;875;6
